route,member_casual,road_distance_km,route_frequency
"41.7917,-87.5839,41.8923,-87.612",casual,12.901,102
"41.7932,-87.5878,41.7851,-87.6011",casual,1.961,105
"41.7932,-87.5878,41.7851,-87.6011",member,1.961,234
"41.7932,-87.5878,41.7887,-87.6013",casual,1.563,125
"41.7932,-87.5878,41.7887,-87.6013",member,1.563,331
"41.7932,-87.5878,41.7894,-87.5965",member,1.086,219
"41.7932,-87.5878,41.7915,-87.5999",casual,1.15,394
"41.7932,-87.5878,41.7915,-87.5999",member,1.15,1506
"41.7932,-87.5878,41.7943,-87.6014",casual,1.588,136
"41.7932,-87.5878,41.7943,-87.6014",member,1.588,716
"41.7932,-87.5878,41.7953,-87.5965",casual,1.295,133
"41.7932,-87.5878,41.7953,-87.5965",member,1.295,375
"41.7932,-87.5878,41.7995,-87.5864",member,1.395,210
"41.7943,-87.6014,41.7851,-87.6011",casual,1.016,1596
"41.7943,-87.6014,41.7851,-87.6011",member,1.016,3435
"41.7943,-87.6014,41.7859,-87.6046",casual,1.21,120
"41.7943,-87.6014,41.7859,-87.6046",member,1.21,376
"41.7943,-87.6014,41.7879,-87.5905",casual,1.741,107
"41.7943,-87.6014,41.7879,-87.5905",member,1.741,297
"41.7943,-87.6014,41.7879,-87.5989",casual,1.488,117
"41.7943,-87.6014,41.7879,-87.5989",member,1.488,303
"41.7943,-87.6014,41.7887,-87.6013",casual,0.619,192
"41.7943,-87.6014,41.7887,-87.6013",member,0.619,785
"41.7943,-87.6014,41.7915,-87.5999",casual,0.438,157
"41.7943,-87.6014,41.7915,-87.5999",member,0.438,827
"41.7943,-87.6014,41.7932,-87.5878",casual,1.454,166
"41.7943,-87.6014,41.7932,-87.5878",member,1.454,791
"41.7943,-87.6014,41.7952,-87.5807",casual,1.81,213
"41.7943,-87.6014,41.7952,-87.5807",member,1.81,506
"41.7943,-87.6014,41.7953,-87.5965",member,0.498,405
"41.7943,-87.6014,41.7993,-87.601",casual,0.593,138
"41.7943,-87.6014,41.7993,-87.601",member,0.593,731
"41.7943,-87.6014,41.7995,-87.5864",member,1.81,328
"41.7943,-87.6014,41.7996,-87.5947",casual,1.116,440
"41.7943,-87.6014,41.7996,-87.5947",member,1.116,1418
"41.7943,-87.6014,41.8024,-87.5869",member,2.136,227
"41.7943,-87.6014,41.8026,-87.5904",casual,1.815,116
"41.7943,-87.6014,41.8026,-87.5904",member,1.815,291
"41.7952,-87.5807,41.7851,-87.6011",casual,2.724,206
"41.7952,-87.5807,41.7851,-87.6011",member,2.724,339
"41.7952,-87.5807,41.7915,-87.5999",casual,2.029,203
"41.7952,-87.5807,41.7915,-87.5999",member,2.029,442
"41.7952,-87.5807,41.7943,-87.6014",casual,1.819,182
"41.7952,-87.5807,41.7943,-87.6014",member,1.819,397
"41.7952,-87.5807,41.7953,-87.5965",casual,1.366,266
"41.7952,-87.5807,41.7953,-87.5965",member,1.366,319
"41.7952,-87.5807,41.7995,-87.5864",casual,0.879,113
"41.7952,-87.5807,41.7996,-87.5947",casual,1.711,192
"41.7952,-87.5807,41.7996,-87.5947",member,1.711,251
"41.7952,-87.5807,41.8024,-87.5869",casual,1.228,106
"41.7952,-87.5807,41.881,-87.6167",casual,11.678,153
"41.7953,-87.5965,41.7851,-87.6011",casual,1.526,267
"41.7953,-87.5965,41.7851,-87.6011",member,1.526,468
"41.7953,-87.5965,41.7879,-87.5989",member,1.044,255
"41.7953,-87.5965,41.7887,-87.6013",casual,1.13,172
"41.7953,-87.5965,41.7887,-87.6013",member,1.13,447
"41.7953,-87.5965,41.79,-87.6",member,0.987,215
"41.7953,-87.5965,41.7915,-87.5999",casual,0.717,255
"41.7953,-87.5965,41.7915,-87.5999",member,0.717,984
"41.7953,-87.5965,41.7932,-87.5878",casual,1.011,203
"41.7953,-87.5965,41.7932,-87.5878",member,1.011,444
"41.7953,-87.5965,41.7943,-87.6014",member,0.507,468
"41.7953,-87.5965,41.7952,-87.5807",casual,1.367,300
"41.7953,-87.5965,41.7952,-87.5807",member,1.367,337
"41.7953,-87.5965,41.7995,-87.5864",casual,1.367,115
"41.7953,-87.5965,41.7995,-87.5864",member,1.367,213
"41.7953,-87.5965,41.7996,-87.5947",casual,0.623,289
"41.7953,-87.5965,41.7996,-87.5947",member,0.623,687
"41.7953,-87.5965,41.8024,-87.5869",member,1.693,254
"41.7993,-87.601,41.7887,-87.6013",casual,1.216,114
"41.7993,-87.601,41.7887,-87.6013",member,1.216,251
"41.7993,-87.601,41.7915,-87.5999",casual,1.035,185
"41.7993,-87.601,41.7915,-87.5999",member,1.035,828
"41.7993,-87.601,41.7943,-87.6014",casual,0.593,119
"41.7993,-87.601,41.7943,-87.6014",member,0.593,561
"41.7993,-87.601,41.7995,-87.5864",casual,1.21,146
"41.7993,-87.601,41.7996,-87.5947",casual,0.523,142
"41.7993,-87.601,41.7996,-87.5947",member,0.523,464
"41.7995,-87.5864,41.7894,-87.5965",member,1.955,254
"41.7995,-87.5864,41.7915,-87.5999",casual,1.944,216
"41.7995,-87.5864,41.7915,-87.5999",member,1.944,443
"41.7995,-87.5864,41.7943,-87.6014",member,1.808,274
"41.7995,-87.5864,41.7952,-87.5807",casual,0.879,158
"41.7995,-87.5864,41.7952,-87.5807",member,0.879,204
"41.7995,-87.5864,41.7996,-87.5947",member,0.687,387
"41.7996,-87.5947,41.7851,-87.6011",casual,2.149,476
"41.7996,-87.5947,41.7851,-87.6011",member,2.149,706
"41.7996,-87.5947,41.7887,-87.6013",casual,1.739,206
"41.7996,-87.5947,41.7887,-87.6013",member,1.739,491
"41.7996,-87.5947,41.7894,-87.5965",casual,1.276,127
"41.7996,-87.5947,41.7894,-87.5965",member,1.276,359
"41.7996,-87.5947,41.7915,-87.5999",casual,1.34,596
"41.7996,-87.5947,41.7915,-87.5999",member,1.34,1656
"41.7996,-87.5947,41.7932,-87.5878",member,1.634,216
"41.7996,-87.5947,41.7943,-87.6014",casual,1.116,297
"41.7996,-87.5947,41.7943,-87.6014",member,1.116,1159
"41.7996,-87.5947,41.7952,-87.5807",casual,1.99,231
"41.7996,-87.5947,41.7952,-87.5807",member,1.99,254
"41.7996,-87.5947,41.7953,-87.5965",casual,0.623,188
"41.7996,-87.5947,41.7953,-87.5965",member,0.623,521
"41.7996,-87.5947,41.7993,-87.601",casual,0.523,119
"41.7996,-87.5947,41.7993,-87.601",member,0.523,610
"41.7996,-87.5947,41.7995,-87.5864",casual,0.687,102
"41.7996,-87.5947,41.7995,-87.5864",member,0.687,645
"41.7996,-87.5947,41.8024,-87.5869",casual,0.972,122
"41.7996,-87.5947,41.8024,-87.5869",member,0.972,457
"41.8,-87.59,41.79,-87.6",casual,2.225,304
"41.8,-87.59,41.79,-87.6",member,2.225,516
"41.8,-87.59,41.7915,-87.5999",member,1.955,228
"41.8,-87.59,41.7996,-87.5947",member,0.646,210
"41.8,-87.6,41.7915,-87.5999",member,1.205,299
"41.8024,-87.5869,41.7887,-87.6013",member,2.757,254
"41.8024,-87.5869,41.7915,-87.5999",casual,2.27,192
"41.8024,-87.5869,41.7915,-87.5999",member,2.27,917
"41.8024,-87.5869,41.7943,-87.6014",member,2.134,301
"41.8024,-87.5869,41.7952,-87.5807",casual,1.229,110
"41.8024,-87.5869,41.7952,-87.5807",member,1.229,210
"41.8024,-87.5869,41.7953,-87.5965",member,1.681,248
"41.8024,-87.5869,41.7996,-87.5947",casual,0.973,113
"41.8024,-87.5869,41.7996,-87.5947",member,0.973,424
"41.8026,-87.5904,41.7915,-87.5999",casual,2.402,103
"41.8026,-87.5904,41.7915,-87.5999",member,2.402,408
"41.8026,-87.5904,41.7943,-87.6014",member,2.191,236
"41.8082,-87.6772,41.8057,-87.6834",casual,1.405,117
"41.83,-87.63,41.8349,-87.6179",member,1.511,226
"41.8307,-87.6413,41.8308,-87.6325",member,0.737,372
"41.8307,-87.6472,41.8308,-87.6325",casual,1.218,159
"41.8308,-87.6325,41.8307,-87.6413",member,0.737,276
"41.8308,-87.6325,41.8307,-87.6472",casual,1.218,127
"41.831,-87.6268,41.8314,-87.618",member,0.755,302
"41.831,-87.6268,41.8347,-87.6258",member,0.494,449
"41.831,-87.6268,41.8349,-87.6179",member,1.152,601
"41.831,-87.6268,41.8362,-87.6135",member,2.18,279
"41.831,-87.6268,41.8421,-87.617",member,2.048,404
"41.8313,-87.6088,41.8347,-87.6258",member,1.815,278
"41.8314,-87.618,41.831,-87.6268",member,0.755,321
"41.8314,-87.618,41.8349,-87.6179",member,0.398,267
"41.8314,-87.618,41.8362,-87.6135",member,1.429,243
"41.8314,-87.618,41.8421,-87.617",member,1.298,340
"41.8345,-87.6318,41.8382,-87.6451",member,1.877,264
"41.8345,-87.6318,41.8385,-87.6354",member,0.717,403
"41.8347,-87.6258,41.8307,-87.6472",member,2.18,209
"41.8347,-87.6258,41.831,-87.6268",member,0.497,439
"41.8347,-87.6258,41.8313,-87.6088",member,1.809,268
"41.8347,-87.6258,41.8314,-87.618",member,1.003,270
"41.8347,-87.6258,41.8345,-87.6318",member,0.497,269
"41.8347,-87.6258,41.8349,-87.6179",casual,0.655,177
"41.8347,-87.6258,41.8349,-87.6179",member,0.655,4829
"41.8347,-87.6258,41.8362,-87.6135",member,1.684,1293
"41.8347,-87.6258,41.8382,-87.6451",member,2.381,407
"41.8347,-87.6258,41.8385,-87.6354",member,1.221,467
"41.8347,-87.6258,41.8388,-87.6219",member,0.782,370
"41.8347,-87.6258,41.8421,-87.617",member,1.565,1972
"41.8348,-87.6178,41.8347,-87.6258",member,0.663,220
"41.8348,-87.6179,41.831,-87.6268",member,1.151,209
"41.8348,-87.6179,41.8347,-87.6258",member,0.655,792
"41.8348,-87.6179,41.8421,-87.617",member,0.91,237
"41.8349,-87.6179,41.831,-87.6268",member,1.151,795
"41.8349,-87.6179,41.8314,-87.618",member,0.398,210
"41.8349,-87.6179,41.8345,-87.6318",member,1.152,209
"41.8349,-87.6179,41.8347,-87.6258",casual,0.655,185
"41.8349,-87.6179,41.8347,-87.6258",member,0.655,4287
"41.8349,-87.6179,41.8388,-87.6219",member,0.781,408
"41.8349,-87.6179,41.8421,-87.617",member,0.91,878
"41.8362,-87.6135,41.831,-87.6268",member,2.181,396
"41.8362,-87.6135,41.8314,-87.618",member,0.983,250
"41.8362,-87.6135,41.8347,-87.6258",member,1.691,952
"41.8362,-87.6135,41.8349,-87.6179",member,0.773,245
"41.8362,-87.6135,41.8386,-87.6082",member,0.69,268
"41.8362,-87.6135,41.8388,-87.6219",member,1,388
"41.8362,-87.6135,41.8421,-87.617",member,0.98,734
"41.8368,-87.6134,41.8347,-87.6258",member,1.624,269
"41.8382,-87.6451,41.8345,-87.6318",member,1.508,360
"41.8382,-87.6451,41.8347,-87.6258",member,2.012,292
"41.8382,-87.6451,41.8385,-87.6354",member,0.859,446
"41.8385,-87.6354,41.8345,-87.6318",member,0.717,448
"41.8385,-87.6354,41.8347,-87.6258",member,1.221,408
"41.8385,-87.6354,41.8382,-87.6451",member,1.231,437
"41.8385,-87.6354,41.8421,-87.617",member,2.709,239
"41.8386,-87.6082,41.8387,-87.6088",casual,4.69,175
"41.8386,-87.6082,41.8574,-87.6138",member,2.252,223
"41.8387,-87.6088,41.8362,-87.6135",member,4.176,237
"41.8388,-87.6219,41.831,-87.6268",member,1.28,237
"41.8388,-87.6219,41.8347,-87.6258",member,0.79,565
"41.8388,-87.6219,41.8349,-87.6179",member,0.868,325
"41.8388,-87.6219,41.8362,-87.6135",member,1.001,302
"41.8388,-87.6219,41.8421,-87.617",member,0.769,903
"41.842,-87.6169,41.8347,-87.6258",member,1.566,270
"41.8421,-87.617,41.831,-87.6268",member,2.047,556
"41.8421,-87.617,41.8314,-87.618",member,1.362,385
"41.8421,-87.617,41.8347,-87.6258",member,1.558,1774
"41.8421,-87.617,41.8349,-87.6179",member,0.904,895
"41.8421,-87.617,41.8362,-87.6135",member,1.037,632
"41.8421,-87.617,41.8386,-87.6082",member,1.221,260
"41.8421,-87.617,41.8388,-87.6219",member,0.769,1158
"41.8421,-87.617,41.8514,-87.6188",member,1.091,455
"41.8436,-87.6454,41.8314,-87.618",member,3.692,205
"41.8457,-87.6225,41.8531,-87.6319",member,1.6,205
"41.8514,-87.6188,41.8531,-87.6319",casual,1.246,172
"41.8514,-87.6188,41.8641,-87.6237",casual,1.817,115
"41.8514,-87.6188,41.8728,-87.624",casual,2.756,178
"41.8514,-87.6188,41.881,-87.6167",casual,6.203,109
"41.8514,-87.6188,41.881,-87.6241",casual,3.669,180
"41.8514,-87.6188,41.8923,-87.612",casual,7.695,143
"41.8531,-87.6319,41.8514,-87.6188",casual,1.247,100
"41.8542,-87.6192,41.8576,-87.6194",casual,0.377,130
"41.8574,-87.6138,41.7952,-87.5807",member,8.21,210
"41.8574,-87.6138,41.8387,-87.6088",casual,2.604,118
"41.8574,-87.6138,41.881,-87.6167",casual,2.947,309
"41.8574,-87.6138,41.881,-87.6167",member,2.947,302
"41.8574,-87.6138,41.881,-87.6241",casual,3.497,111
"41.8574,-87.6138,41.887,-87.6128",casual,3.878,107
"41.8574,-87.6138,41.8923,-87.612",casual,4.439,200
"41.8576,-87.6194,41.8532,-87.6319",member,1.392,225
"41.8576,-87.6194,41.881,-87.6167",casual,3.494,111
"41.8578,-87.6246,41.8672,-87.626",member,1.122,358
"41.8579,-87.6687,41.8576,-87.6615",member,0.661,204
"41.8579,-87.6687,41.8582,-87.6565",member,1.057,223
"41.8604,-87.6258,41.8672,-87.626",casual,0.757,181
"41.8604,-87.6258,41.8672,-87.626",member,0.757,642
"41.8604,-87.6258,41.8721,-87.6295",member,1.844,361
"41.8604,-87.6258,41.8772,-87.6394",member,3.048,292
"41.8641,-87.6237,41.8672,-87.626",member,0.518,505
"41.8641,-87.6237,41.8679,-87.623",member,0.589,282
"41.8641,-87.6237,41.881,-87.6241",casual,1.911,112
"41.8649,-87.6471,41.8717,-87.651",member,1.143,433
"41.8649,-87.6471,41.8718,-87.6466",casual,0.84,187
"41.8649,-87.6471,41.8718,-87.6466",member,0.84,826
"41.8649,-87.6471,41.8722,-87.6614",member,2.339,211
"41.8649,-87.6471,41.8748,-87.6498",casual,1.315,126
"41.8649,-87.6471,41.8748,-87.6498",member,1.315,334
"41.8652,-87.6665,41.8722,-87.6614",member,1.416,258
"41.8653,-87.6179,41.8672,-87.6154",casual,0.617,112
"41.8653,-87.6179,41.8672,-87.626",casual,0.931,115
"41.8653,-87.6179,41.8679,-87.623",casual,0.663,238
"41.8653,-87.6179,41.8728,-87.624",casual,1.343,224
"41.8653,-87.6179,41.881,-87.6167",casual,1.978,546
"41.8653,-87.6179,41.881,-87.6241",casual,2.528,491
"41.8653,-87.6179,41.887,-87.6128",casual,2.91,258
"41.8653,-87.6179,41.8923,-87.612",casual,3.47,540
"41.8653,-87.6179,41.901,-87.6238",casual,4.807,118
"41.8661,-87.6073,41.8576,-87.6194",casual,3.014,114
"41.8661,-87.6073,41.8641,-87.6237",casual,2.148,102
"41.8661,-87.6073,41.8653,-87.6179",casual,1.069,216
"41.8661,-87.6073,41.8672,-87.6154",casual,0.618,477
"41.8661,-87.6073,41.8672,-87.6154",member,0.618,250
"41.8661,-87.6073,41.8672,-87.626",casual,1.966,123
"41.8661,-87.6073,41.8672,-87.626",member,1.966,207
"41.8661,-87.6073,41.8679,-87.623",casual,1.698,398
"41.8661,-87.6073,41.8679,-87.623",member,1.698,275
"41.8661,-87.6073,41.8728,-87.624",casual,2.378,236
"41.8661,-87.6073,41.8762,-87.6244",casual,2.996,106
"41.8661,-87.6073,41.878,-87.6241",casual,2.956,142
"41.8661,-87.6073,41.881,-87.6167",casual,3.013,867
"41.8661,-87.6073,41.881,-87.6241",casual,3.563,543
"41.8661,-87.6073,41.887,-87.6128",casual,3.945,385
"41.8661,-87.6073,41.8923,-87.612",casual,4.505,956
"41.8661,-87.6073,41.901,-87.6238",casual,5.842,167
"41.8671,-87.6411,41.8672,-87.626",casual,1.309,132
"41.8671,-87.6411,41.8672,-87.626",member,1.309,254
"41.8672,-87.6154,41.8653,-87.6179",casual,0.519,107
"41.8672,-87.6154,41.8661,-87.6073",casual,1.586,355
"41.8672,-87.6154,41.8679,-87.623",casual,1.148,354
"41.8672,-87.6154,41.8728,-87.624",casual,1.828,280
"41.8672,-87.6154,41.8767,-87.6205",casual,1.942,110
"41.8672,-87.6154,41.8777,-87.6353",casual,3.285,104
"41.8672,-87.6154,41.878,-87.6241",casual,2.406,219
"41.8672,-87.6154,41.881,-87.6167",casual,2.463,1521
"41.8672,-87.6154,41.881,-87.6167",member,2.463,213
"41.8672,-87.6154,41.881,-87.6241",casual,3.013,1038
"41.8672,-87.6154,41.884,-87.6247",casual,3.196,158
"41.8672,-87.6154,41.8847,-87.6195",casual,4.156,120
"41.8672,-87.6154,41.886,-87.6244",casual,3.57,175
"41.8672,-87.6154,41.8863,-87.6175",casual,4.397,121
"41.8672,-87.6154,41.8869,-87.626",casual,3.525,122
"41.8672,-87.6154,41.887,-87.6128",casual,3.395,687
"41.8672,-87.6154,41.8908,-87.6186",casual,4.362,138
"41.8672,-87.6154,41.8923,-87.612",casual,3.955,1648
"41.8672,-87.6154,41.8926,-87.6173",casual,4.552,173
"41.8672,-87.6154,41.901,-87.6238",casual,5.292,282
"41.8672,-87.6154,41.9117,-87.6268",casual,6.779,169
"41.8672,-87.6156,41.8923,-87.612",casual,3.952,119
"41.8672,-87.626,41.8576,-87.6194",member,1.571,268
"41.8672,-87.626,41.8578,-87.6246",casual,1.122,112
"41.8672,-87.626,41.8578,-87.6246",member,1.122,555
"41.8672,-87.626,41.8604,-87.6258",casual,0.757,181
"41.8672,-87.626,41.8604,-87.6258",member,0.757,726
"41.8672,-87.626,41.8641,-87.6237",member,0.555,532
"41.8672,-87.626,41.8661,-87.6073",casual,1.86,144
"41.8672,-87.626,41.8675,-87.6322",member,0.56,240
"41.8672,-87.626,41.8679,-87.623",casual,0.358,180
"41.8672,-87.626,41.8679,-87.623",member,0.358,230
"41.8672,-87.626,41.8708,-87.6257",member,0.492,349
"41.8672,-87.626,41.8721,-87.6295",casual,1.041,104
"41.8672,-87.626,41.8721,-87.6295",member,1.041,628
"41.8672,-87.626,41.8741,-87.6277",member,0.971,212
"41.8672,-87.626,41.8795,-87.6257",member,1.638,261
"41.8672,-87.626,41.881,-87.6241",casual,1.68,128
"41.8672,-87.626,41.8923,-87.612",casual,3.699,119
"41.8673,-87.6156,41.8672,-87.6154",casual,0,182
"41.8673,-87.6156,41.881,-87.6167",casual,2.463,131
"41.8673,-87.6156,41.8923,-87.612",casual,3.955,151
"41.8673,-87.6486,41.8695,-87.6555",member,0.835,305
"41.8673,-87.6486,41.8717,-87.651",member,0.712,462
"41.8673,-87.6486,41.8722,-87.6614",member,1.908,329
"41.8673,-87.6486,41.8748,-87.6498",member,1.572,211
"41.8673,-87.6486,41.8783,-87.641",member,2.363,367
"41.8675,-87.6322,41.8672,-87.626",member,2.528,243
"41.8679,-87.623,41.8653,-87.6179",casual,0.919,124
"41.8679,-87.623,41.8661,-87.6073",casual,1.812,292
"41.8679,-87.623,41.8672,-87.6154",casual,1.395,353
"41.8679,-87.623,41.8672,-87.6154",member,1.395,242
"41.8679,-87.623,41.8675,-87.6322",casual,0.761,100
"41.8679,-87.623,41.8728,-87.624",casual,0.676,251
"41.8679,-87.623,41.8728,-87.624",member,0.676,512
"41.8679,-87.623,41.8759,-87.6306",member,1.793,314
"41.8679,-87.623,41.878,-87.6241",casual,1.254,172
"41.8679,-87.623,41.878,-87.6241",member,1.254,512
"41.8679,-87.623,41.8783,-87.641",member,3.022,269
"41.8679,-87.623,41.8803,-87.6352",member,2.422,216
"41.8679,-87.623,41.881,-87.6167",casual,2.159,357
"41.8679,-87.623,41.881,-87.6167",member,2.159,328
"41.8679,-87.623,41.881,-87.6241",casual,1.589,513
"41.8679,-87.623,41.881,-87.6241",member,1.589,436
"41.8679,-87.623,41.884,-87.6247",casual,2.049,106
"41.8679,-87.623,41.886,-87.6244",casual,2.145,142
"41.8679,-87.623,41.887,-87.6128",casual,3.09,194
"41.8679,-87.623,41.8923,-87.612",casual,3.651,497
"41.8679,-87.623,41.901,-87.6238",casual,4.988,117
"41.8679,-87.623,41.9117,-87.6268",casual,6.475,148
"41.8683,-87.624,41.881,-87.6241",casual,1.413,159
"41.8686,-87.6862,41.8693,-87.6737",member,1.536,438
"41.869,-87.6591,41.8695,-87.6555",member,0.348,267
"41.869,-87.6591,41.8717,-87.651",member,0.965,392
"41.869,-87.6591,41.8718,-87.6466",member,1.35,450
"41.8693,-87.6737,41.8686,-87.6862",member,1.436,249
"41.8693,-87.6737,41.8695,-87.6555",member,2.018,284
"41.8693,-87.6737,41.8717,-87.651",member,3.179,244
"41.8693,-87.6737,41.8722,-87.6614",member,1.782,215
"41.8695,-87.6555,41.8652,-87.6665",member,1.374,224
"41.8695,-87.6555,41.8673,-87.6486",member,1.097,359
"41.8695,-87.6555,41.869,-87.6591",member,0.348,237
"41.8695,-87.6555,41.8693,-87.6737",member,1.522,314
"41.8695,-87.6555,41.8717,-87.651",member,0.617,589
"41.8695,-87.6555,41.8718,-87.6466",member,1.003,940
